domain,order_hint,job,status,trigger,executor,runs_on,input,output,surfaces,primary_surface,drop_from,tests,notes
mixtape-lifecycle,80,Stage the waveform/envelope at upload,desired,event:recording-upload,system,cloudflare;M5,the uploaded set video,recordings/<id>/studio-envelope.json (peaks[]),,api,,partial,roadmap Phase 1: spawned analyze-set + NEW arbitrary-key presign op; analyze-set.test.ts exists
mixtape-lifecycle,90,Attach a take to its plan,live,operator,human,M5,a take recording + a plan id,take.parentId set + version assigned,web-admin;cli-admin;api,web-admin,,partial,update_recording --parent-id; plans.tsx loose-take attach; recordings.test.ts
mixtape-lifecycle,100,Derive cues from Rekordbox history,live,operator,system,M2,a Rekordbox session + Fluncle catalogue,ordered recording_cues written via replace-cues,m2-script;helm,m2-script,helm(frozen),yes,rekordbox-derive-cues.py --apply; helm derive-cues; test_derive_cues.py + helm cues.test.ts
mixtape-lifecycle,105,Derive cues via a web-admin button (M2 poller),desired,operator,system,M2;cloudflare,a take + Rekordbox session,recording_cues,,web-admin,,none,roadmap: M2 poller behind a web button (derivation is M2/master.db-bound today)
mixtape-lifecycle,110,Attach cues to a recording,live,operator,system,M5,the ordered cue array,recording_cues replaced transactionally,cli-admin;helm;api,helm,helm(frozen),partial,replace_recording_cues; recordings replace-cues; helm attach; recordings.test.ts + cues.test.ts
mixtape-lifecycle,120,Mark cue mix-in times on the cue rail,live,operator,human,M5,a take/mixtape + the envelope,startMs on each cue,web-admin,web-admin,,partial,/admin/studio/<id> cue rail (C/X/↑/↓); update_mixtape_cue for promoted; mixtapes-cues.test.ts
mixtape-lifecycle,130,Promote a recording to a mixtape,live,operator,human,M5,a take recording with cues,minted .F. mixtape + <logId>/set.mp4 + setVideoAt + seeded members,web-admin;cli-admin;helm;api,helm,helm(frozen),yes,promote_recording (idempotent mint-or-reuse); Studio button/CLI/helm; recordings.test.ts (10+ cases)
mixtape-lifecycle,140,"Edit a mixtape (dream note, date, duration, SoundCloud)",live,operator,human,M5,a promoted mixtape,updated mixtape fields,web-admin;cli-admin;api,web-admin,,partial,update_mixtape; mixtapes update / Studio editor; orpc-admin-mixtapes.test.ts
mixtape-lifecycle,150,Distribute the video to YouTube,live,operator,human,M5,the mixtape .mp4 master,unlisted YouTube video + mixtape_social_posts row,cli-admin;helm,helm,helm(frozen),partial,"mixtapes distribute --youtube (multi-GB, operator-direct); resumable; mixtape-youtube.test.ts"
mixtape-lifecycle,160,Distribute the audio to Mixcloud,live,operator,human,M5,the clean Track-1 .mp3 master,public Mixcloud cloudcast + mixtape_social_posts row,cli-admin;helm,helm,helm(frozen),partial,mixtapes distribute --mixcloud; ffmpeg -map 0:a:0 extract; mixtape-mixcloud.test.ts
mixtape-lifecycle,170,Make the YouTube video public,live,operator,human,M5,a distributed unlisted mixtape,the YouTube video flipped public,web-admin;cli-admin,web-admin,,partial,publish_mixtape_youtube (server-side videos.update); Studio button/CLI; orpc-admin-mixtapes.test.ts
mixtape-lifecycle,180,Re-sync cues → live YouTube chapters + Mixcloud sections,live,operator,human,M5,the mixtape's current cues,refreshed YT description/chapters + MC sections (no re-upload),web-admin;cli-admin,web-admin,,partial,resync_mixtape_youtube/mixcloud (both server-side); Studio Re-sync from cues; mixtape-chapters.test.ts
mixtape-lifecycle,190,Backfill a published mixtape's cues,live,operator,human,M5,a published mixtape + start times,re-timed member start_ms,web-admin;api,web-admin,,yes,set_mixtape_cues (batch) / update_mixtape_cue (single); Studio cue rail; mixtapes-cues.test.ts
mixtape-lifecycle,200,Render the hour-long set video,live,operator,human,M5,a published mixtape's cues + archived comps,one long-form set.mp4 (chapters + travel transitions),,helm,,partial,bun run --cwd packages/video set:render <logId> (local GPU); render-set.test.ts; roadmap wants a Cockpit shelf button (not built)
mixtape-lifecycle,210,Toggle the set video on /log,live,operator,human,M5,a promoted mixtape,setVideoAt flag → /log hero video + video SEO,web-admin;cli-admin;api,web-admin,,partial,auto on promote; manual switch in Studio (update_mixtape setVideoAt); log-schema.test.ts
mixtape-lifecycle,220,Register the mixtape on MusicBrainz,partial,operator,human,M5,the published mixtape + tracklist,a DJ-mix release on MusicBrainz,,web-admin,,none,manual; no op; skill §E; substantiates the MB artist; DESIRED automation per Work Standard
mixtape-lifecycle,230,Link the mixtape on Wikidata,partial,operator,human,M5,the MusicBrainz release,a release link on Q140169844,,web-admin,,none,manual; no op; skill §E; closes the off-site KG loop
mixtape-lifecycle,240,Announce the mixtape to the crew,desired,operator,ai;human,M5,the published mixtape URLs,a Telegram crew post (+ newsletter ride-along),telegram,helm,,none,roadmap: NEW operator-tier announce op (nothing mixtape-shaped exists); today manual skill §F
mixtape-lifecycle,250,Verify the mixtape resolves across surfaces,live,operator,ai,M5,the minted .F. coordinate,pass/fail across feed/mixtapes/log/API/RSS/MCP/llms.txt,,web-admin,,none,"skill §G checklist + fluncle-smoke skill (agent-run cross-surface sweep, not a CLI/test)"
mixtape-lifecycle,260,Surface mixtape-day tasks in the attention queue,live,event:page-request,system,cloudflare,recordings + mixtapes state,"queue rows: recordings-without-cues ([Attach cues] → the Studio, M2-badged) + promoted-undistributed ([Distribute] → the Studio, M5-badged + missing-leg marks)",web-admin,web-admin,,yes,the /admin queue (deriveAttentionItems over listRecordings + listMixtapes includeUnpublished); attention.test.ts covers both verdicts
clips-drip,10,Author finding-linked cues on a recording (Studio cue rail),live,operator,human,browser,a recording set video + picked findings,recording tracklistJson via replace_recording_cues,web-admin,web-admin,,partial,studio.$recordingId.tsx cue rail; PUT /admin/recordings/{id}/cues; pure helpers recording-cues.test.ts; also fuels mixtape chapters
clips-drip,20,Create a clip (mark in/out + 9:16 crop → queue a pending row),live,operator,human,browser,recording set rendition + in/out band + crop xOffset,mixtape_clips pending row (+ auto drip enrol),web-admin,web-admin,,partial,create_clip POST /admin/recordings/{id}/clips; clips.ts createClip; crop-frame/energy-lane UI; clips.test.ts covers auto-queue
clips-drip,30,Cut a clip's framed 9:16 footage (box clip-sweep cron),live,cron:fluncle-studio-clip,system,rave-02;cloudflare,pending clip + recording r2Key set rendition,<clipId>/footage.mp4 on R2 + status=done,box-script;cli-admin;api,cli-admin,,partial,"clip-sweep.ts shells `fluncle admin clips cut`; clipCutFfmpegArgs clips.ts; presign_clip_upload/finalize_clip_cut; clips.test.ts args-only, no e2e"
clips-drip,40,Browse/filter/preview/delete clips (clip library),live,operator,human,browser,mixtape_clips + recordings,rendered grid; delete_clip prunes a bad cut,web-admin;cli-admin,web-admin,,partial,routes/admin/clips.tsx + clip-card.tsx; list_clips/delete_clip; studio-clips.test.ts filter/sort; `fluncle admin clips list`
clips-drip,50,Edit + copy a clip caption (built caption w/ fluncle:// coordinate),live,operator,human,browser,clip caption + resolved coordinate lines,update_clip caption; clipboard payload,web-admin;api,web-admin,,partial,clip-card.tsx ClipCaption; get_clip_caption; buildClipCaption clip-caption.ts; clip-caption.test.ts
clips-drip,55,Download a clip for hand-posting (IG with-audio / TikTok silent),live,operator,human,browser,<clipId>/footage.mp4 + audio-stripped MT,downloaded mp4 opens in a new tab,web-admin,web-admin,,partial,clip-card.tsx ClipDownloads; clipDownloadUrls studio-clips.ts (videoAudioStripped for TikTok); studio-clips.test.ts
clips-drip,60,Auto-enrol a new clip onto the IG drip queue (jittered ~24h slot),live,event:clip-created,system,cloudflare,new clip + queue tail,mixtape_clip_social_posts scheduled row,api,api,,yes,createClip→upsertClipPost; computeNextDripSlot [23-25h] clip-social.ts; best-effort; clips.test.ts + clip-social.test.ts; visibility on web-admin
clips-drip,70,Drip due clips to Instagram (Postiz Reel push),live,cron:fluncle-clip-drip,system,rave-02;cloudflare,due scheduled + done clip rows,IG Reel via Postiz; status=posted + postizId,box-script;api,api,,yes,clip-drip-sweep.sh→drip_clips op; pushInstagramReel postiz.ts; per-tick cap 3 + 24h cap 10; orpc-clip-drip.test.ts; button on web-admin
clips-drip,80,Pause/resume the whole IG drip (global kill switch),live,operator,human,browser;M5,paused flag,settings.clip_drip_paused KV,web-admin;cli-admin;api,web-admin,,yes,DripKillSwitch clips.tsx; set_clip_drip; `fluncle admin clips drip-pause`/`drip-resume`; orpc-clip-drip.test.ts
clips-drip,90,Schedule/override or unschedule a clip's drip slot,live,operator,human,browser,clipId + ISO slot (or unschedule),upsert/delete mixtape_clip_social_posts row,web-admin;cli-admin;api,web-admin,,yes,clip-card.tsx ClipDrip popover; set_clip_schedule/delete_clip_schedule; CLI `clips schedule` only (no unschedule verb); orpc-clip-drip.test.ts
clips-drip,100,Batch-schedule a selection onto the drip chain,live,operator,human,browser;cloudflare,selected clip ids,chained scheduled rows (one nextDripSlot roll each),web-admin;api,web-admin,,yes,now the operator-tier set_clip_schedules oRPC op (POST /admin/clips/schedule); clips.tsx batch bar fetches it (the web-only createServerFn that bypassed the contract is retired); orpc-clip-drip.test.ts + coverage nets
clips-drip,110,Post a clip to TikTok by hand (manual),live,operator,human,phone;browser,silent clip download + built caption,TikTok post (licensed sound attached in-app),web-admin;phone,web-admin,,none,no clip→TikTok automation: drip is IG-only (CLIP_DRIP_PLATFORM=instagram); download silent + copy caption from clip-card; tiktok-inbox caption quirk
clips-drip,120,Capture the IG permalink back onto a posted clip,live,cron:fluncle-clip-drip,system,cloudflare,postizId of a posted clip,posted_url (IG permalink) on the drip row,api,api,,yes,drip_clips runs a capture pass each tick (resolveSocialUrl now handles instagram — captures Postiz's Graph-API permalink verbatim off the dated /posts list + links the release-id); postedClipPostsAwaitingUrl feeds it; clip-card 'View on Instagram' now renders; orpc-clip-drip.test.ts + postiz.test.ts
clips-drip,130,Cut a clip on demand / locally (cut now),desired,operator,system,M5,recording master (local or R2-cached),<clipId>/footage.mp4 in seconds,helm,helm,helm(frozen),none,cockpit-roadmap.md Studio lane [Create clip] locally; clipCutFfmpegArgs→@fluncle/contracts; kills box clip-sweep ~15m latency
clips-drip,140,Surface 'drip queue empty' as an attention-queue row,live,event:page-request,system,cloudflare,listClipPosts scheduled counts,the queue's drip-empty row (`0 queued` + [Cut clips] → /admin/clips) once nothing is scheduled,web-admin,web-admin,,yes,the /admin queue singleton row (anchored to the last slot that fired so it ages honestly; snoozable); attention.test.ts covers on/off
platform-ops,10,Announce a finding to Telegram,live,event:finding-published,system,cloudflare,a published finding's metadata + note + logId,a message in the Fluncle's Findings Telegram channel,cli-admin;raycast;web-admin;telegram,api,,partial,"publish side-effect; apps/web/src/lib/server/telegram.ts + publish.ts:238 postToTelegram (best-effort, blocks the add on failure); publish op covered but the Telegram fetch is a mocked side-channel"
platform-ops,20,Notify the mobile crew via push,live,event:finding-published;event:mixtape-published,system,cloudflare,a freshly-published finding or mixtape,Expo push fan-out to registered devices,api,api,,yes,"push.test.ts; apps/web/src/lib/server/push.ts notifyNewFinding; NO-OP until EXPO_ACCESS_TOKEN set; waitUntil, never blocks the publish"
platform-ops,30,Draft the weekly newsletter,live,cron:fluncle-newsletter,ai,rave-02;cloudflare,findings+mixtapes in the self-healing window (/api/tracks off last SENT edition),a draft editions row (create_edition) + a Discord summary + the send command,box-script;web-admin;cli-admin,api,,yes,"newsletter.test.ts+editions.test.ts+edition-email.test.ts; hybrid --no-agent, one claude -p; hermes/scripts/newsletter-sweep.ts; Fri 15:00 Amsterdam; web-admin /admin/newsletter shows drafts"
platform-ops,40,Send the weekly newsletter,live,operator,human,cloudflare,a chosen draft edition id,a Resend broadcast to the list + sequential edition number + the /newsletter archive page,web-admin;cli-admin,web-admin,,yes,orpc-admin-editions.test.ts/editions.test.ts; send_edition OPERATOR-tier (agent token 403s); apps/web/src/routes/admin/newsletter.tsx SendControl OR `fluncle admin newsletter send`
platform-ops,45,Run quality checks on every PR and main,live,event:pull-request;event:push-to-main,system,,a commit / PR,pass-fail lint+format+typecheck+bun-test+go build/vet/test/gofmt,,api,,none,GitHub Actions; .github/workflows/quality-checks.yml; the workflow RUNS the suite (no test of the workflow itself)
platform-ops,50,Deploy the web app on push to main,live,event:push-to-main,system,cloudflare,a commit on main,a new fluncle-web Worker deployment,,web-admin,,none,CF Workers Builds rebuilds apps/web on every push; rapid merges COALESCE (drop intermediate builds); no in-product deploy visibility today — only the CF dashboard
platform-ops,55,Gate the deploy,live,event:push-to-main,system,cloudflare,the CF build tree,abort-before-wrangler-deploy on a failing gate,,api,,none,root package.json deploy:gate = format:check && lint && typecheck && test; extend HERE not the CF dashboard; runs in the CF Build command ahead of deploy:cf
platform-ops,70,Apply DB migrations on deploy,live,event:push-to-main,system,cloudflare,pending drizzle-kit migrations,the migrated Turso prod schema,,api,,none,"apps/web deploy:cf = db:migrate && db:backfill && wrangler deploy; auto-applies in the CF build; author via db:generate, never by hand"
platform-ops,80,Release the CLI,live,event:push-to-main,system,,a push touching apps/cli/**,GH release binaries + npm publish (OIDC) + Homebrew formula bump,cli-public,cli-public,,none,GitHub Actions; .github/workflows/cli-release.yml; auto minor-bump versioning; 4 targets; brew tap step no-ops without HOMEBREW_TAP_TOKEN
platform-ops,90,Detect and PR safe Hermes pin bumps,live,cron:hermes-pin-drift;event:cli-release-completed,system,,fluncle/claude-code/bun registry versions vs the baked Dockerfile pins,a same-major bump PR (safe) or an operator-decision issue (major/base image),,api,,none,GitHub Actions hourly + on release; .github/workflows/hermes-pin-drift.yml + .github/scripts/hermes-pin-drift.sh; auto-merges only with PIN_DRIFT_TOKEN
platform-ops,100,Self-deploy the Hermes container,live,cron:pin-watch,system,rave-02,main's baked Dockerfile pins vs the running container,"a rebuilt+swapped Hermes image (pre-smoke gated, auto-rollback) + a self-deploy /status check",box-script;api,api,,none,docs/agents/hermes/pin-watch/rebuild-hermes.sh host systemd timer; credential-free (public repo + reuse running env); posts self-deploy to record_health
platform-ops,110,Keep GitHub Actions digests current,desired,cron,system,,Action digest/tag drift,a digest-bump PR,,api,,none,cockpit + memory fluncle-maintenance-bump-half-ci: NO renovate.json committed; Renovate GitHub App unset (pending operator); hermes-pin-drift covers the CLI/claude/bun pins only
platform-ops,115,Scan for committed secrets,live,event:pull-request;event:push-to-main,system,,the full git history + working tree,pass-fail (blocks a leaked secret value or a concrete op:// path),,api,,none,GitHub Actions; .github/workflows/gitleaks.yml gitleaks v8.30.1 (history) + a working-tree op:// path grep; .gitleaks.toml allowlist
platform-ops,120,Sync box secrets from 1Password,live,cron:fluncle-secrets-sync,system,rave-02,1Password items via op inject templates,"/etc/hermes.env (gateway) + .fluncle-secrets.env (sweeps), 0600, atomic",box-script,api,,none,docs/agents/hermes/secrets/fluncle-secrets-sync.sh systemd timer+boot; sanity-checked so an op outage can't write a partial file; bootstrap token /etc/hermes-bootstrap.env; ~15m rotate window
platform-ops,130,Log in as admin,live,operator,human,cloudflare,the operator's Spotify identity,an operator grant cookie (browser session),web-admin,web-admin,,partial,admin-auth.test.ts; apps/web/src/routes/api/admin/spotify/auth/login.ts is the PUBLIC identity front door; the shared callback branches on purpose
platform-ops,140,Reconnect the Spotify publishing token,live,operator,human,cloudflare,operator OAuth consent (also triggered by a reauth-required publish),a refreshed spotify_auth token stored server-side,web-admin;api,web-admin,,none,"spotify/auth/start.ts (operator-tier) + callback; staleDays=150, refresh-token 6-mo expiry from 2026-07-20; SPOTIFY_REAUTH_REQUIRED surfaces the reconnect affordance"
platform-ops,150,Reconnect the YouTube distribution token,live,operator,human,cloudflare,operator OAuth consent,a YouTube token stored server-side (mixtape video distribution),web-admin;api,web-admin,,none,apps/web/src/routes/api/admin/youtube/auth/start.ts (operator-tier) + callback; the CLI never holds the durable credential
platform-ops,160,Reconnect the Mixcloud distribution token,live,operator,human,cloudflare,operator OAuth consent,a Mixcloud token stored server-side (mixtape audio distribution),web-admin;api,web-admin,,none,apps/web/src/routes/api/admin/mixcloud/auth/start.ts (operator-tier) + callback; mirrors the Spotify/YouTube start route
platform-ops,180,Probe services and record a health snapshot,live,cron:fluncle-healthcheck,system,rave-02;cloudflare,live services: web/r2/dns/ssh/render-box/hermes + one row per Hermes cron,a snapshot POST to record_health + a Discord ping on a status flip + a beacon ping,box-script;api,api,,partial,status.test.ts covers the store; the PROBE script (fluncle-healthcheck.ts) is untested; rave-02 HOST systemd timer ~10m; AUTOMATION_CRONS lists 9 crons — studio-clip is MISSING
platform-ops,190,Show service health,live,event:page-request,system,cloudflare,the service_status / status_events / service_check_samples tables,the public /status dashboard + /api/status JSON (+ CLI status + MCP ln),api;cli-public,api,,yes,status.test.ts; apps/web/src/routes/status.tsx + api/status.ts; renders cron.* rows + uptime bar; /api/status exposes secondsSinceProberReport for the cross-ping
platform-ops,200,Cross-ping the prober and beacon the edge,live,cron:fluncle-rave-watchdog,system,rave-01,/api/status secondsSinceProberReport + an external beacon URL,a Discord ping when rave-02 goes dark + rave-01's own dead-man beacon ping,box-script,api,,none,apps/ssh/watchdog/fluncle-rave-watchdog.sh systemd timer ~10m; keys on the `hermes` self-liveness so rave-01's own onion post can't mask it; dead-man's-switch triad
platform-ops,210,Probe Tor onion reachability,live,cron:fluncle-rave-watchdog,system,rave-01,the .onion via rave-01's local Tor SOCKS proxy,an `onion` check POSTed to record_health + a Discord flip ping,box-script;api,api,,none,watchdog job 3 (only box that can route .onion); any HTTP response = reachable; shows as an onion row on /status; all onion vars optional
platform-ops,220,Beacon both boxes to an external uptime service,live,event:beacon-stops,system,rave-01;rave-02,periodic liveness pings from both boxes,an external alert when the pings STOP (the both-boxes-down catch),,api,,none,HEALTHCHECK_BEACON_URL (rave-02) + RAVE01_BEACON_URL (rave-01); healthchecks.io/BetterUptime/self-hosted; the only leg that fires when no on-box job can run
platform-ops,240,Surface every cron's last-run and next-run on web-admin,desired,operator,human,browser;cloudflare,cron freshness (already on /status) + next-run (only on the box via `hermes cron list`),a web-admin Pulse grid — every humming system as data,,web-admin,,none,cockpit-roadmap.md the queue(home)/Pulse; /status shows last-run freshness PUBLICLY but next-run + the operator Pulse view are unbuilt — the `I can't see it so I don't know it exists` gap
platform-ops,250,Surface cron.studio-clip on /status,partial,cron:fluncle-healthcheck,system,rave-02;cloudflare,the fluncle-studio-clip cron output dir,a cron.studio-clip row on /status,api,api,,none,documented follow-up: fluncle-studio-clip is NOT in AUTOMATION_CRONS (docs/agents/hermes/scripts/fluncle-healthcheck.ts:365) so its liveness is invisible on the board
platform-ops,260,Show a live-on-Twitch on-the-decks callout,done,cron;event:live-state-change,system,rave-02;cloudflare,the Twitch live state (box poll),a live_state row fanned to web banner / Telegram pin / SSH / CLI / MCP,,api,,none,SHIPPED 2026-07-06 (#199 merged 134e0a7); fluncle-live poll cron on rave-02 + Go SSH/DNS apps redeployed on rave-01; verified end-to-end; Nebula Violet #ab7bff
platform-ops,270,Back up the production database,desired,cron,system,cloudflare,the Turso prod database,a durable off-site backup + a tested restore path,,api,,none,"NO in-repo backup job — db-pull-prod.ts/db-refresh.ts are DEV seeding (prod->local), not backup; relies solely on Turso's managed point-in-time restore; docs/local-database.md"
intake-enrichment,45,Embed a track (MuQ),desired,cron:fluncle-embed(new),system,rave-02,the track's analysis audio,an embedding vector per track (storage per the MuQ spike),,api,,none,MuQ on rave-02 as a new cron; replaces manual vibe tagging (spike 2026-07-06: existing data insufficient for auto-tag)
intake-enrichment,46,Place a finding from its embedding (clustering),desired,event:embedded,system,cloudflare,the track's MuQ embedding,auto placement coords (supersedes vibe_x/vibe_y manual entry),,api,web-admin(tag tool retires),none,supersedes /admin/tag + the tag dialog; same embeddings feed similar-tracks (crew feature) later
video-pipeline,10,View the render queue,live,operator;agent;cron:fluncle-render,system,cloudflare,admin auth (no args),"findings needing a video, oldest-first (JSON)",cli-admin;api;web-admin,cli-admin,,partial,"fluncle admin tracks queue → list_tracks_admin(hasContext=true,hasVideo=false); admin-tracks.ts:queueCommand; queue depth badges the admin sidebar Renders entry + /admin/renders is its web-admin queue view (admin-sidebar.tsx)"
platform-ops,190,Show service health,live,event:page-request,system,cloudflare,the service_status / status_events / service_check_samples tables,the public /status dashboard + /api/status JSON (+ CLI status + MCP ln),api;cli-public,api,,yes,status.test.ts; apps/web/src/routes/status.tsx + api/status.ts; renders cron.* rows + uptime bar; /api/status exposes secondsSinceProberReport for the cross-ping; the admin sidebar System entry deep-links /status (Wave 0 shell)
curation-posting,136,Detect + surface stale TikTok drafts (24h bounce),live,event:board-render;cron:helm-poll,system,cloudflare;M5;M2,a draft's push time (updated_at) vs the 24h window,a bounced draft re-opens: a distinct `stale` board cell + re-entry into next-to-post/nudge,web-admin;helm,web-admin,helm(frozen),yes,"SHIPPED: shared isStaleTikTokDraft + TIKTOK_DRAFT_STALE_MS in @fluncle/contracts/util (clock-injected; 24h off updated_at) is the ONE source of the cutoff. A bounced draft re-opens across all 3 readers — board publishStep `stale` cell + track-stage.ts worklist bucketing + helm pulse postFreshness; push dialog offers re-push; tiktokPending drops stale from the 5/24h count. Tests: util.test.ts + board-model.test.ts + track-stage.test.ts + logic.test.ts"
platform-ops,270,Back up the production database,live,cron:fluncle-backup,system,rave-02,the Turso prod database,a daily gzip SQL dump + integrity manifest on a PRIVATE R2 bucket (30 daily/12 monthly) + a tested restore drill,box-script;api,api,,yes,"backup-sweep.{sh,ts} dumps over the libSQL HTTP pipeline (zero deps) → gzip → the private fluncle-backups R2 bucket (NEVER found.fluncle.com's world-served fluncle-videos) + prune; owned off-Cloudflare backup, Turso PITR is the belt this is the braces. Restore drill = apps/web/scripts/restore-drill.ts (ran green: 28 tables/1097 rows); pure logic unit-tested (db-dump.test.ts + aws-sigv4.test.ts vs aws4fetch). Probed as cron.backup. Operator-gated: create the bucket + a read-only Turso token + a backup-bucket-only R2 token (see cron/README § The database-backup cron)"
